City,Country,State,Region,Postal Code
Bangalore,India,Karnataka,Southern,560001
Bhopal,India,Madhya Pradesh,Central,462001
Mumbai,India,Maharashtra,Western,400001
Delhi,India,Delhi,Northern,110001
Patna,India,Bihar,Eastern,800001
Chennai,India,Tamil Nadu,Southern,600001
Bhopal,India,Madhya Pradesh,Central,462001
Chandigarh,India,Chandigarh,Northern,160001
Bangalore,India,Karnataka,Southern,560001
Thiruvananthapuram,India,Kerala,Southern,695001
Guwahati,India,Assam,Northeastern,781001
Pune,India,Maharashtra,Western,411001
Jaipur,India,Rajasthan,Northern,302001
Guwahati,India,Assam,Northeastern,781001
Pune,India,Maharashtra,Western,411001
Kolkata,India,West Bengal,Eastern,700001
Chandigarh,India,Chandigarh,Northern,160001
Delhi,India,Delhi,Northern,110001
Hyderabad,India,Telangana,Southern,500001
Nagpur,India,Maharashtra,Western,440001
Pune,India,Maharashtra,Western,411001
Hyderabad,India,Telangana,Southern,500001
Chandigarh,India,Chandigarh,Northern,160001
Bhopal,India,Madhya Pradesh,Central,462001
Chennai,India,Tamil Nadu,Southern,600001
Lucknow,India,Uttar Pradesh,Northern,226001
Bangalore,India,Karnataka,Southern,560001
Bhubaneswar,India,Odisha,Eastern,751001
Kolkata,India,West Bengal,Eastern,700001
Lucknow,India,Uttar Pradesh,Northern,226001
Patna,India,Bihar,Eastern,800001
Indore,India,Madhya Pradesh,Central,452001
Jaipur,India,Rajasthan,Northern,302001
Thiruvananthapuram,India,Kerala,Southern,695001
Mumbai,India,Maharashtra,Western,400001
Chennai,India,Tamil Nadu,Southern,600001
Hyderabad,India,Telangana,Southern,500001
Thiruvananthapuram,India,Kerala,Southern,695001
Delhi,India,Delhi,Northern,110001
Hyderabad,India,Telangana,Southern,500001
Nagpur,India,Maharashtra,Western,440001
Bhopal,India,Madhya Pradesh,Central,462001
Guwahati,India,Assam,Northeastern,781001
Guwahati,India,Assam,Northeastern,781001
Jaipur,India,Rajasthan,Northern,302001
Guwahati,India,Assam,Northeastern,781001
Nagpur,India,Maharashtra,Western,440001
Bangalore,India,Karnataka,Southern,560001
Kolkata,India,West Bengal,Eastern,700001
Kolkata,India,West Bengal,Eastern,700001
Chennai,India,Tamil Nadu,Southern,600001
Kolkata,India,West Bengal,Eastern,700001
Bhopal,India,Madhya Pradesh,Central,462001
Bhopal,India,Madhya Pradesh,Central,462001
Chennai,India,Tamil Nadu,Southern,600001
Lucknow,India,Uttar Pradesh,Northern,226001
Nagpur,India,Maharashtra,Western,440001
Thiruvananthapuram,India,Kerala,Southern,695001
Ahmedabad,India,Gujarat,Western,380001
Bhopal,India,Madhya Pradesh,Central,462001
